1,3284,12964,2016-11-05 08:51:45,Awaiting,2016-11-20,2016-11-25
2,1889,12964,2016-10-31 11:59:50,Paid,2016-11-20,2016-11-22
3,3348,12964,2016-11-12 13:39:26,Confirmed,2016-11-20,2016-11-28
4,3771,12964,2016-10-31 01:40:56,Paid,2016-11-21,2016-11-26
5,3239,12964,2016-11-19 11:30:17,Paid,2016-11-21,2016-11-29
6,1816,12964,2016-11-18 09:40:13,Paid,2016-11-21,2016-11-24
7,214,12964,2016-10-23 06:55:56,Awaiting,2016-11-21,2016-12-04
8,2991,12964,2016-11-09 06:46:30,Awaiting,2016-11-24,2016-12-01
9,856,12964,2016-11-11 20:55:45,Confirmed,2016-11-24,2016-11-24
10,3460,12964,2016-11-08 23:48:25,Awaiting,2016-11-25,2016-11-30
11,3379,12964,2016-11-21 16:22:44,Confirmed,2016-11-27,2016-12-08
12,3604,12964,2016-11-19 06:07:09,Paid,2016-11-27,2016-12-02
13,1754,12964,2016-11-10 13:30:40,Awaiting,2016-11-30,2016-12-03
14,1002,12964,2016-11-25 19:46:23,Awaiting,2016-12-02,2016-12-07
15,1851,12964,2016-11-12 11:26:26,Awaiting,2016-12-04,2016-12-08
16,620,12964,2016-11-16 16:03:49,Paid,2016-12-05,2016-12-05
17,3268,12964,2016-11-09 23:05:19,Awaiting,2016-12-05,2016-12-06
18,31,12964,2016-11-15 14:04:50,Confirmed,2016-12-08,2016-12-19
19,2691,12964,2016-11-18 19:23:07,Paid,2016-12-11,2016-12-13
20,2044,12964,2016-12-07 05:55:16,Paid,2016-12-14,2016-12-18
21,3098,12964,2016-12-04 05:51:52,Paid,2016-12-14,2016-12-21
22,1793,12964,2016-12-09 02:38:48,Awaiting,2016-12-15,2016-12-25
23,3897,12964,2016-12-08 04:32:56,Awaiting,2016-12-18,2016-12-24
24,98,12964,2016-12-11 09:06:54,Awaiting,2016-12-18,2016-12-25
25,2681,12964,2016-11-25 14:34:38,Paid,2016-12-19,2016-12-29
26,534,12964,2016-12-14 03:35:17,Awaiting,2016-12-19,2016-12-25
27,772,12964,2016-12-09 13:45:20,Awaiting,2016-12-20,2016-12-26
28,343,12964,2016-12-01 02:17:16,Awaiting,2016-12-22,2016-12-22
29,505,12964,2016-12-16 17:54:58,Awaiting,2016-12-25,2016-12-27
30,825,12964,2016-12-18 15:54:08,Paid,2016-12-27,2016-12-29
31,2602,12964,2016-11-30 23:21:41,Awaiting,2016-12-29,2016-12-30
32,26,12964,2016-12-01 21:12:03,Confirmed,2016-12-29,2017-01-11
33,1980,12964,2016-12-14 08:48:26,Paid,2016-12-31,2017-01-05
34,3569,12964,2016-12-12 00:54:06,Awaiting,2016-12-31,2017-01-09
35,1753,12964,2016-12-16 05:22:00,Awaiting,2017-01-03,2017-01-07
36,1046,12964,2016-12-26 22:46:57,Awaiting,2017-01-06,2017-01-07
37,1549,12964,2016-12-19 14:51:49,Awaiting,2017-01-06,2017-01-14
38,2960,12964,2016-12-18 06:18:51,Paid,2017-01-09,2017-01-14
39,1622,12964,2016-12-20 03:15:01,Awaiting,2017-01-11,2017-01-21
40,2609,12964,2017-01-09 14:21:36,Awaiting,2017-01-14,2017-01-22
41,3668,12964,2016-12-17 19:41:43,Paid,2017-01-14,2017-01-23
42,1512,12964,2017-01-08 23:16:26,Confirmed,2017-01-17,2017-01-26
43,2833,12964,2016-12-21 17:05:55,Confirmed,2017-01-19,2017-01-25
44,2820,12964,2017-01-08 20:11:48,Awaiting,2017-01-20,2017-01-23
45,1413,12964,2017-01-16 13:47:20,Confirmed,2017-01-20,2017-01-28
46,398,12964,2016-12-26 01:06:19,Awaiting,2017-01-22,2017-01-28
47,1889,12964,2017-01-03 07:42:01,Paid,2017-01-25,2017-01-29
48,1270,12964,2017-01-02 15:25:15,Awaiting,2017-01-25,2017-01-29
49,2564,12964,2017-01-25 22:00:54,Confirmed,2017-01-27,2017-02-08
50,1219,12964,2017-01-14 20:32:22,Paid,2017-01-28,2017-02-03
51,1112,12964,2017-01-09 16:34:01,Awaiting,2017-01-28,2017-02-03
52,1429,12964,2017-01-16 00:11:48,Awaiting,2017-01-28,2017-02-02
53,1200,12964,2017-01-08 19:53:21,Paid,2017-01-30,2017-02-10
54,1455,12964,2017-01-13 02:43:30,Confirmed,2017-01-31,2017-02-05
55,373,12964,2017-01-10 16:22:35,Awaiting,2017-02-01,2017-02-12
56,2053,12964,2017-01-03 17:17:22,Paid,2017-02-02,2017-02-09
57,2121,12964,2017-01-14 08:04:44,Awaiting,2017-02-02,2017-02-09
58,1909,12964,2017-01-16 16:05:21,Awaiting,2017-02-02,2017-02-08
59,2138,12964,2017-02-01 23:11:51,Paid,2017-02-05,2017-02-13
60,2384,12964,2017-01-09 02:00:40,Awaiting,2017-02-05,2017-02-16
61,281,12964,2017-01-28 15:35:14,Awaiting,2017-02-08,2017-02-12
62,2707,12964,2017-01-21 12:21:44,Awaiting,2017-02-08,2017-02-17
63,2349,12964,2017-01-15 06:32:45,Awaiting,2017-02-11,2017-02-19
64,2260,12964,2017-02-07 16:02:36,Confirmed,2017-02-11,2017-02-15
65,3208,12964,2017-01-16 23:38:47,Confirmed,2017-02-11,2017-02-12
66,1324,12964,2017-01-22 06:27:29,Awaiting,2017-02-13,2017-02-14
67,1219,12964,2017-01-22 15:57:02,Paid,2017-02-14,2017-02-19
68,2033,12964,2017-01-26 06:53:33,Paid,2017-02-14,2017-02-18
69,217,12964,2017-01-24 14:06:15,Awaiting,2017-02-15,2017-02-17
70,117,12964,2017-02-08 09:42:34,Confirmed,2017-02-16,2017-02-20
71,1804,12964,2017-02-17 07:23:10,Paid,2017-02-18,2017-02-22
72,1521,12964,2017-01-23 06:08:07,Paid,2017-02-21,2017-02-26
73,2312,12964,2017-02-19 02:42:43,Awaiting,2017-02-21,2017-03-05
74,211,12964,2017-02-19 17:51:33,Awaiting,2017-02-24,2017-03-05
75,1708,12964,2017-02-09 04:50:29,Confirmed,2017-02-25,2017-03-07
76,990,12964,2017-02-16 06:43:31,Awaiting,2017-02-25,2017-03-04
77,656,12964,2017-02-11 09:57:13,Awaiting,2017-02-27,2017-03-10
78,605,12964,2017-02-02 04:24:16,Confirmed,2017-02-28,2017-03-07
79,19,12964,2017-01-31 09:26:12,Confirmed,2017-03-02,2017-03-08
80,226,12964,2017-02-02 22:16:18,Confirmed,2017-03-04,2017-03-10
81,519,12964,2017-02-06 14:33:18,Awaiting,2017-03-05,2017-03-10
82,3109,12964,2017-02-19 18:07:20,Confirmed,2017-03-08,2017-03-18
83,497,12964,2017-02-28 07:13:18,Confirmed,2017-03-08,2017-03-14
84,2920,12964,2017-03-04 05:36:33,Confirmed,2017-03-08,2017-03-10
85,3308,12964,2017-03-02 13:37:35,Awaiting,2017-03-09,2017-03-16
86,1991,12964,2017-03-05 07:58:31,Confirmed,2017-03-10,2017-03-15
87,166,12964,2017-02-11 03:40:37,Confirmed,2017-03-12,2017-03-18
88,3350,12964,2017-03-12 17:45:35,Paid,2017-03-14,2017-03-24
89,88,12964,2017-02-25 11:43:14,Paid,2017-03-15,2017-03-21
90,1799,12964,2017-02-15 06:45:31,Confirmed,2017-03-16,2017-03-27
91,2791,12964,2017-03-03 20:37:56,Awaiting,2017-03-18,2017-03-24
92,122,12964,2017-02-26 13:15:51,Awaiting,2017-03-20,2017-03-28
93,2506,12964,2017-03-01 01:07:32,Paid,2017-03-22,2017-03-28
94,1100,12964,2017-03-09 05:27:23,Confirmed,2017-03-25,2017-04-03
95,980,12964,2017-03-08 19:13:41,Confirmed,2017-03-26,2017-04-04
96,754,12964,2017-03-21 03:21:33,Confirmed,2017-03-27,2017-03-31
97,2815,12964,2017-03-24 15:01:30,Awaiting,2017-03-27,2017-04-01
98,2368,12964,2017-03-23 05:23:18,Paid,2017-03-28,2017-04-03
99,3021,12964,2017-03-10 11:51:34,Awaiting,2017-03-29,2017-04-02
100,385,12964,2017-03-24 09:44:46,Confirmed,2017-03-31,2017-04-03
101,3834,12964,2017-03-13 03:46:14,Awaiting,2017-04-02,2017-04-09
