1,1,5,2
1,2,3,7
1,3,1,3
1,4,1,3
1,5,2,4
1,6,4,7
1,7,2,8
1,8,5,7
1,9,1,8
1,10,5,8
1,11,5,5
1,12,6,1
1,13,2,5
1,14,6,1
1,15,3,5
1,16,3,4
1,17,2,5
1,18,4,7
1,19,3,4
1,20,2,10
1,21,3,8
1,22,2,2
1,23,6,3
1,24,5,4
1,25,4,12
1,26,2,4
1,27,2,5
1,28,3,5
1,29,2,3
1,30,2,2
1,31,2,5
1,32,1,2
1,33,4,9
1,34,1,4
1,35,3,5
1,36,2,1
1,37,6,2
1,38,2,4
1,39,6,4
1,40,1,3
1,41,3,3
1,42,3,4
1,43,1,9
1,44,6,4
1,45,3,6
1,46,6,10
1,47,4,8
1,48,5,3
1,49,4,2
1,50,3,8
1,51,5,2
1,52,2,8
1,53,2,6
1,54,6,2
1,55,3,8
1,56,6,2
1,57,4,3
1,58,3,10
1,59,4,2
1,60,4,1
1,61,6,4
1,62,3,8
1,63,2,6
1,64,5,1
1,65,1,9
1,66,5,4
1,67,4,3
1,68,3,2
1,69,4,4
1,70,3,6
1,71,6,9
1,72,2,3
1,73,4,5
1,74,1,7
1,75,2,4
1,76,1,6
1,77,1,10
1,78,4,4
1,79,4,3
1,80,2,4
1,81,4,7
1,82,3,3
1,83,1,3
1,84,2,7
1,85,1,4
1,86,3,12
1,87,2,4
1,88,5,2
1,89,2,10
1,90,5,10
1,91,2,3
1,92,4,7
1,93,1,2
1,94,1,4
1,95,3,9
1,96,4,5
1,97,5,5
1,98,3,4
1,99,4,11
1,100,5,8
1,101,4,3
1,102,6,6
1,103,4,2
1,104,1,2
1,105,6,6
1,106,4,3
1,107,5,11
1,108,6,6
1,109,1,4
1,110,1,4
1,111,4,11
1,112,5,2
1,113,1,1
1,114,6,4
1,115,6,8
1,116,1,4
1,117,3,1
1,118,3,1
1,119,4,5
1,120,1,3
1,121,3,4
1,122,5,4
1,123,6,4
1,124,4,2
1,125,1,5
1,126,6,3
1,127,4,5
1,128,5,9
1,129,3,2
1,130,4,10
1,131,2,5
1,132,3,5
1,133,3,4
1,134,3,4
1,135,3,3
1,136,3,4
1,137,1,3
1,138,5,7
1,139,1,7
1,140,6,9
1,141,6,4
1,142,4,1
1,143,2,3
1,144,4,7
1,145,1,10
1,146,4,2
1,147,2,4
1,148,2,6
1,149,1,5
1,150,2,6
1,151,4,1
1,152,6,2
1,153,6,8
1,154,5,5
1,155,5,12
1,156,1,3
1,157,3,3
1,158,5,6
1,159,6,8
1,160,3,6
1,161,6,3
1,162,2,4
1,163,1,9
1,164,5,3
1,165,1,6
1,166,3,9
1,167,5,1
1,168,3,6
1,169,6,11
1,170,1,7
1,171,3,3
1,172,2,3
1,173,5,1
1,174,3,7
1,175,5,6
1,176,2,8
1,177,3,3
1,178,4,7
1,179,6,10
1,180,6,6
1,181,2,4
1,182,5,4
1,183,5,9
1,184,4,5
1,185,3,8
1,186,2,5
1,187,5,5
1,188,4,6
1,189,3,6
1,190,1,5
1,191,4,5
1,192,4,9
1,193,1,3
1,194,3,6
1,195,2,2
1,196,6,4
1,197,1,7
1,198,5,9
1,199,5,3
1,200,2,2
2,1,4,8
2,2,2,6
2,3,3,3
2,4,3,3
2,5,4,4
2,6,3,5
2,7,3,5
2,8,5,4
2,9,1,5
2,10,1,2
2,11,3,7
2,12,2,2
2,13,5,8
2,14,2,3
2,15,5,4
2,16,1,6
2,17,1,3
2,18,6,5
2,19,5,10
2,20,2,4
2,21,4,10
2,22,4,5
2,23,4,7
2,24,3,5
2,25,5,8
2,26,3,5
2,27,2,4
2,28,3,4
2,29,1,4
2,30,1,3
2,31,3,8
2,32,2,3
2,33,4,10
2,34,6,4
2,35,6,2
2,36,3,4
2,37,4,1
2,38,2,2
2,39,4,2
2,40,5,5
2,41,2,2
2,42,6,6
2,43,1,3
2,44,1,7
2,45,4,6
2,46,1,3
2,47,4,1
2,48,1,4
2,49,5,1
2,50,1,7
2,51,5,1
2,52,5,6
2,53,4,3
2,54,6,4
2,55,4,10
2,56,3,1
2,57,3,7
2,58,5,5
2,59,6,1
2,60,1,5
2,61,2,8
2,62,2,1
2,63,6,7
2,64,2,8
2,65,3,1
2,66,1,8
2,67,4,5
2,68,6,1
2,69,6,4
2,70,2,2
2,71,3,9
2,72,3,9
2,73,4,2
2,74,4,9
2,75,6,9
2,76,1,5
2,77,4,9
2,78,6,6
2,79,5,6
2,80,2,7
2,81,5,4
2,82,4,6
2,83,5,1
2,84,6,6
2,85,6,6
2,86,2,7
2,87,2,10
2,88,3,4
2,89,5,8
2,90,3,5
2,91,3,10
2,92,1,7
2,93,6,10
2,94,6,2
2,95,6,5
2,96,2,3
2,97,4,3
2,98,2,6
2,99,6,7
2,100,1,6
2,101,1,3
2,102,3,10
2,103,1,6
2,104,6,6
2,105,6,6
2,106,4,1
2,107,5,5
2,108,6,5
2,109,2,1
