21842,1108,2016-11-06 05:06:31,Confirmed,2016-11-21,2016-11-30
21844,1108,2016-11-05 00:45:05,Confirmed,2016-11-21,2016-12-03
21845,1108,2016-11-21 08:10:01,Confirmed,2016-11-23,2016-11-24
21843,1108,2016-11-09 16:48:18,Awaiting,2016-11-25,2016-12-04
21848,1108,2016-11-15 12:12:47,Awaiting,2016-11-28,2016-12-11
21847,1108,2016-11-26 17:12:18,Confirmed,2016-11-29,2016-12-07
21851,1108,2016-11-11 08:55:41,Awaiting,2016-11-30,2016-12-01
21846,1108,2016-11-25 01:47:54,Paid,2016-12-03,2016-12-06
21849,1108,2016-11-30 21:25:00,Confirmed,2016-12-05,2016-12-10
21844,1108,2016-11-10 03:07:32,Paid,2016-12-06,2016-12-14
21845,1108,2016-11-23 16:49:52,Confirmed,2016-12-07,2016-12-16
21851,1108,2016-11-15 03:47:40,Awaiting,2016-12-08,2016-12-16
21847,1108,2016-12-06 01:02:03,Confirmed,2016-12-09,2016-12-20
21844,1108,2016-12-08 14:03:48,Awaiting,2016-12-10,2016-12-19
21845,1108,2016-11-26 10:35:08,Awaiting,2016-12-10,2016-12-15
21845,1108,2016-12-01 13:34:10,Awaiting,2016-12-10,2016-12-15
21844,1108,2016-11-19 18:26:11,Awaiting,2016-12-13,2016-12-15
21845,1108,2016-11-22 08:54:52,Awaiting,2016-12-13,2016-12-22
21850,1108,2016-12-05 08:00:28,Awaiting,2016-12-15,2016-12-17
21846,1108,2016-11-16 09:07:36,Paid,2016-12-15,2016-12-19
21850,1108,2016-11-28 11:24:47,Paid,2016-12-15,2016-12-24
21842,1108,2016-12-07 14:12:30,Paid,2016-12-18,2016-12-25
21845,1108,2016-12-17 07:00:10,Paid,2016-12-21,2016-12-28
21843,1108,2016-12-22 16:47:11,Confirmed,2016-12-23,2017-01-03
21851,1108,2016-12-04 19:58:46,Awaiting,2016-12-26,2016-12-31
21849,1108,2016-12-17 18:07:12,Awaiting,2016-12-29,2017-01-07
