1,1,4.4
1,2,2.9
1,3,2.4
1,4,2.9
1,5,3.4
1,6,7.9
2,1,5.0
2,2,6.5
2,3,7.0
2,4,7.5
2,5,6.0
2,6,7.5
3,1,3.1
3,2,3.6
3,3,5.1
3,4,5.6
3,5,5.1
3,6,5.6
4,1,4.4
4,2,3.9
4,3,5.4
4,4,4.9
4,5,6.4
4,6,4.9
5,1,1.4
5,2,2.9
5,3,2.4
5,4,6.9
5,5,6.4
5,6,7.9
6,1,5.1
6,2,5.6
6,3,5.1
6,4,6.6
6,5,4.1
6,6,5.6
7,1,3.0
7,2,6.5
7,3,4.0
7,4,5.5
7,5,6.0
7,6,8.5
8,1,5.1
8,2,2.6
8,3,2.1
8,4,3.6
8,5,3.1
8,6,4.6
9,1,3.8
9,2,3.3
9,3,1.8
9,4,5.3
9,5,4.8
9,6,5.3
10,1,5.7
10,2,6.2
10,3,6.7
10,4,7.2
10,5,6.7
10,6,5.2
11,1,2.0
11,2,2.5
11,3,3.0
11,4,5.5
11,5,7.0
11,6,4.5
12,1,1.1
12,2,1.6
12,3,2.1
12,4,5.6
12,5,7.1
12,6,4.6
13,1,3.1
13,2,5.6
13,3,2.1
13,4,2.6
13,5,7.1
13,6,6.6
14,1,2.1
14,2,2.6
14,3,5.1
14,4,6.6
14,5,7.1
14,6,7.6
15,1,0.8
15,2,5.3
15,3,2.8
15,4,2.3
15,5,2.8
15,6,3.3
16,1,1.1
16,2,1.6
16,3,6.1
16,4,5.6
16,5,7.1
16,6,4.6
17,1,5.1
17,2,5.6
17,3,4.1
17,4,5.6
17,5,6.1
17,6,4.6
18,1,3.8
18,2,5.3
18,3,3.8
18,4,2.3
18,5,6.8
18,6,7.3
19,1,2.4
19,2,5.9
19,3,2.4
19,4,6.9
19,5,5.4
19,6,7.9
20,1,3.4
20,2,5.9
20,3,5.4
20,4,3.9
20,5,5.4
20,6,7.9
21,1,1.4
21,2,2.9
21,3,2.4
21,4,6.9
21,5,4.4
21,6,6.9
22,1,5.1
22,2,2.6
22,3,4.1
22,4,2.6
22,5,3.1
22,6,3.6
23,1,5.1
23,2,4.6
23,3,3.1
23,4,5.6
23,5,5.1
23,6,7.6
24,1,2.4
24,2,3.9
24,3,4.4
24,4,6.9
24,5,4.4
24,6,7.9
25,1,4.1
25,2,4.6
25,3,6.1
25,4,3.6
25,5,7.1
25,6,7.6
26,1,5.1
26,2,5.6
26,3,2.1
26,4,6.6
26,5,4.1
26,6,5.6
27,1,3.7
27,2,3.2
27,3,5.7
27,4,5.2
27,5,6.7
27,6,8.2
28,1,5.7
28,2,6.2
28,3,4.7
28,4,3.2
28,5,6.7
28,6,6.2
29,1,3.4
29,2,1.9
29,3,6.4
29,4,5.9
29,5,7.4
29,6,6.9
30,1,2.8
30,2,3.3
30,3,1.8
30,4,6.3
30,5,6.8
30,6,4.3
31,1,5.1
31,2,4.6
31,3,5.1
31,4,2.6
31,5,4.1
31,6,7.6
32,1,5.7
32,2,3.2
32,3,5.7
32,4,4.2
32,5,7.7
32,6,8.2
33,1,6.0
33,2,5.5
33,3,6.0
33,4,3.5
33,5,5.0
33,6,4.5
34,1,0.8
34,2,2.3
34,3,1.8
34,4,3.3
34,5,6.8
34,6,5.3
35,1,1.1
35,2,2.6
35,3,2.1
35,4,4.6
35,5,3.1
35,6,7.6
36,1,6.0
36,2,4.5
36,3,5.0
36,4,3.5
36,5,4.0
36,6,8.5
37,1,5.4
37,2,3.9
37,3,6.4
37,4,5.9
37,5,6.4
37,6,7.9
38,1,5.7
38,2,5.2
38,3,2.7
38,4,7.2
38,5,4.7
38,6,6.2
39,1,3.7
39,2,2.2
39,3,3.7
39,4,6.2
39,5,6.7
39,6,7.2
40,1,0.8
40,2,5.3
40,3,1.8
40,4,2.3
40,5,6.8
40,6,4.3
41,1,1.1
41,2,5.6
41,3,4.1
41,4,4.6
41,5,6.1
41,6,5.6
42,1,1.4
42,2,1.9
42,3,2.4
42,4,5.9
42,5,5.4
42,6,7.9
43,1,3.4
43,2,3.9
43,3,4.4
43,4,5.9
43,5,6.4
43,6,4.9
44,1,4.4
44,2,2.9
44,3,5.4
44,4,4.9
44,5,3.4
44,6,4.9
45,1,2.7
45,2,3.2
45,3,3.7
45,4,6.2
45,5,4.7
45,6,4.2
46,1,5.1
46,2,4.6
46,3,3.1
46,4,3.6
46,5,4.1
46,6,6.6
47,1,3.7
47,2,3.2
47,3,3.7
47,4,5.2
47,5,4.7
47,6,8.2
48,1,2.7
48,2,5.2
48,3,3.7
48,4,3.2
48,5,5.7
48,6,8.2
49,1,3.4
49,2,4.9
49,3,2.4
49,4,4.9
49,5,4.4
49,6,7.9
50,1,1.1
50,2,5.6
50,3,2.1
50,4,6.6
50,5,6.1
50,6,7.6
51,1,5.4
51,2,2.9
51,3,3.4
51,4,2.9
51,5,5.4
51,6,6.9
52,1,3.4
52,2,4.9
52,3,3.4
52,4,2.9
52,5,7.4
52,6,5.9
53,1,3.4
53,2,4.9
53,3,3.4
53,4,4.9
53,5,6.4
53,6,6.9
54,1,4.8
54,2,3.3
54,3,3.8
54,4,4.3
54,5,5.8
54,6,5.3
55,1,2.4
55,2,5.9
55,3,2.4
55,4,6.9
55,5,4.4
55,6,7.9
56,1,5.7
56,2,2.2
56,3,5.7
56,4,6.2
56,5,6.7
56,6,8.2
57,1,1.1
57,2,5.6
57,3,4.1
57,4,3.6
57,5,4.1
57,6,6.6
58,1,1.1
58,2,2.6
58,3,2.1
58,4,6.6
58,5,4.1
58,6,3.6
59,1,2.1
59,2,5.6
59,3,6.1
59,4,6.6
59,5,7.1
59,6,7.6
60,1,3.4
60,2,1.9
60,3,4.4
60,4,6.9
60,5,4.4
60,6,3.9
61,1,4.4
61,2,1.9
61,3,4.4
61,4,6.9
61,5,7.4
61,6,6.9
62,1,6.0
62,2,2.5
62,3,5.0
62,4,6.5
62,5,4.0
62,6,6.5
63,1,5.1
63,2,3.6
63,3,5.1
63,4,2.6
63,5,3.1
63,6,5.6
64,1,4.1
64,2,4.6
64,3,3.1
64,4,6.6
64,5,6.1
64,6,7.6
65,1,0.8
65,2,2.3
65,3,4.8
65,4,4.3
65,5,3.8
65,6,4.3
66,1,2.0
66,2,2.5
66,3,3.0
66,4,5.5
66,5,4.0
66,6,6.5
67,1,2.0
67,2,6.5
67,3,6.0
67,4,7.5
67,5,6.0
67,6,5.5
68,1,2.8
68,2,3.3
68,3,1.8
68,4,4.3
68,5,3.8
68,6,5.3
69,1,4.7
69,2,5.2
69,3,5.7
69,4,5.2
69,5,5.7
69,6,7.2
70,1,2.8
70,2,1.3
70,3,5.8
70,4,4.3
70,5,3.8
70,6,4.3
71,1,4.4
71,2,5.9
71,3,4.4
71,4,3.9
71,5,3.4
71,6,6.9
72,1,4.4
72,2,5.9
72,3,4.4
72,4,3.9
72,5,4.4
72,6,3.9
73,1,5.1
73,2,2.6
73,3,3.1
73,4,3.6
73,5,4.1
73,6,7.6
74,1,1.4
74,2,5.9
74,3,5.4
74,4,3.9
74,5,6.4
74,6,3.9
75,1,2.7
75,2,5.2
75,3,3.7
75,4,4.2
75,5,3.7
75,6,8.2
76,1,3.7
76,2,6.2
76,3,3.7
76,4,7.2
76,5,4.7
76,6,8.2
77,1,1.7
77,2,2.2
77,3,4.7
77,4,4.2
77,5,5.7
77,6,8.2
78,1,3.4
78,2,5.9
78,3,2.4
78,4,5.9
78,5,6.4
78,6,5.9
79,1,3.4
79,2,5.9
79,3,2.4
79,4,6.9
79,5,7.4
79,6,3.9
80,1,1.4
80,2,5.9
80,3,6.4
80,4,6.9
80,5,7.4
80,6,3.9
81,1,2.4
81,2,4.9
81,3,3.4
81,4,5.9
81,5,3.4
81,6,3.9
82,1,4.8
82,2,3.3
82,3,4.8
82,4,5.3
82,5,3.8
82,6,6.3
83,1,6.0
83,2,6.5
83,3,6.0
83,4,5.5
83,5,4.0
83,6,7.5
84,1,2.4
84,2,5.9
84,3,2.4
84,4,4.9
84,5,6.4
84,6,6.9
